Name,Elements,Times,AbsFreq_mean,AbsFreq_std,AbsFreq_sum,V,V_err,beta,beta_err,R^2,pcorr^2,model,xW_V,xW_V_err,xW_beta,xW_beta_err,xW_R^2,xW_pcorr^2,xW_model,xW_V_stan,xW_V_err_stan,xW_beta_stan,xW_beta_err_stan
LEA_h_gem_b1,75,13,41109.3846154,12976.5474385,534422.0,0.272527201773,0.0359965203848,0.828488139845,0.0151840710208,0.976066503371,0.862650963457,LLR,0.232061834231,0.032624394387,0.803077026424,0.0230710252956,0.952160815826,0.857003054581,xWboot,,,,
LEA_h_gem_b2,79,13,39165.4615385,13603.5349672,509151.0,0.159433160212,0.0187420395498,0.774710615668,0.0132826861051,0.977865851795,0.858437651024,LLR,0.134634041515,0.0159646261804,0.749027068079,0.0196860911889,0.955356590216,0.85232641929,xWboot,,,,
LEA_gem_ob_d1,82,5,66247.2,22832.8150958,331236.0,0.275149015525,0.0414665280726,0.855702346067,0.0170059997142,0.969370581147,0.858310662428,LLR,0.220704399066,0.0319656756607,0.821875481531,0.0229100554795,0.937653005294,0.851136969126,xWboot,,,,
LEA_h_gem_d2,86,4,110378.5,77111.9682561,441514.0,0.294211240702,0.0453480304908,0.865341777398,0.0177387194775,0.965905588935,0.874347969802,LLR,0.233168222945,0.037603534735,0.828966951327,0.0252597400753,0.925457592808,0.86752077528,xWboot,,,,
LEA_h_gem_del_a1,78,12,97076.9166667,32137.0277872,1164923.0,0.309629930388,0.039972168436,0.855239751282,0.0133772101373,0.981745586168,0.87465337347,LLR,0.263004361913,0.0376661130615,0.831650405245,0.0208744680233,0.960688700567,0.869688790696,xWboot,,,,
LEA_h_gem_del_a2,89,12,131246.0,44919.9460394,1574952.0,0.285544310543,0.0375226526642,0.841830447083,0.013049199745,0.979523646953,0.870948427163,LLR,0.233722375146,0.0307424579272,0.815745297284,0.0187957524867,0.956017938339,0.864332041243,xWboot,,,,
LEA_h_gem_del_c1,88,3,127688.0,105715.388979,383064.0,0.288585729384,0.0544942885818,0.873745892532,0.0215770900403,0.950167343346,0.876866712094,LLR,0.213689365613,0.0361991564237,0.83005814109,0.0262907954005,0.906656504907,0.86860944498,xWboot,,,,
LEA_gem_ob_e1,80,5,108773.0,28010.6584803,543865.0,0.427230723899,0.0562708945459,0.894530425643,0.0155600011447,0.976943517253,0.853561071032,LLR,0.335469706128,0.0531672916755,0.855293432956,0.0251946376979,0.943475063659,0.847466033408,xWboot,,,,
LEA_gem_ob_e2,70,5,53498.8,34614.197018,267494.0,0.775883484209,0.129537507428,0.938894170675,0.0207507948582,0.967852000422,0.857772624593,LLR,0.589582736006,0.120050343744,0.893661706132,0.0330270240657,0.918998238257,0.851792707377,xWboot,,,,
LEA_gem_ob_f1,65,5,68627.2,35372.054177,343136.0,0.299363261312,0.0389759621988,0.873307451522,0.0155979110715,0.980298581473,0.858358058233,LLR,0.254123144188,0.0399359502739,0.84446467231,0.0256059927952,0.953578918718,0.853595686936,xWboot,,,,
