Name,Elements,Times,AbsFreq_mean,AbsFreq_std,AbsFreq_sum,V,V_err,beta,beta_err,R^2,pcorr^2,model,xW_V,xW_V_err,xW_beta,xW_beta_err,xW_R^2,xW_pcorr^2,xW_model,xW_V_stan,xW_V_err_stan,xW_beta_stan,xW_beta_err_stan
kwashiorkor_gen_h_h10A,325,3,108078.168442,15099.8805165,324234.505326,0.520258006103,0.0522198784077,0.923570584219,0.00835414662512,0.974252330425,0.941652107071,LLR,0.268049323845,0.0501720209278,0.861364165128,0.018232701468,0.902353493343,0.93572188085,xWboot,,,,
kwashiorkor_gen_h_h10B,268,3,73924.1583178,16082.1127647,221772.474953,0.442366459577,0.0497759110851,0.908468068464,0.00947151449125,0.971898963436,0.936445282642,LLR,0.226053064507,0.0446793727527,0.845300051178,0.0192488747935,0.903158674992,0.930296243951,xWboot,,,,
kwashiorkor_gen_h_h121A,404,5,85666.3903165,33638.9257959,428331.951582,0.623109078147,0.0423513339875,0.918004559683,0.00542427306787,0.986159032812,0.947249884016,LLR,0.293091569915,0.0509466975737,0.85060915348,0.0162863440526,0.911770746863,0.941666974961,xWboot,,,,
kwashiorkor_gen_h_h121B,615,5,105057.129266,49329.4381731,525285.646328,0.71081198041,0.0380100464217,0.929431722611,0.00406852010538,0.988390143417,0.957604274132,LLR,0.287988369088,0.0470580716666,0.854170840463,0.0137647000282,0.904037180755,0.9529040011,xWboot,,,,
kwashiorkor_gen_h138A,340,7,118418.90482,64686.3260306,828932.333743,0.52155132746,0.0439644986433,0.901729219476,0.00646159084143,0.982940334507,0.947213553332,LLR,0.278721306469,0.0477337066276,0.847192403756,0.0154350843993,0.920870156267,0.941812635544,xWboot,,,,
kwashiorkor_gen_h187A,318,6,120815.189876,71187.9838986,724891.139257,0.704793248635,0.0511704614573,0.92438597699,0.00565827263477,0.988298636494,0.948381854689,LLR,0.345681290835,0.0647238765588,0.861299235915,0.017165726625,0.917888086012,0.943236115149,xWboot,,,,
kwashiorkor_gen_h188B,666,17,110029.182899,51589.9792409,1870496.10928,0.663681531749,0.0404118863357,0.893847081016,0.00438373215972,0.984280151262,0.957791567737,LLR,0.309733455456,0.0429513467781,0.832920135833,0.0114709353238,0.915939837089,0.95338039459,xWboot,,,,
kwashiorkor_gen_h196B,448,11,85623.7472404,37185.7207522,941861.219644,0.641205920626,0.0397610542301,0.899493630449,0.00465156201341,0.988213439877,0.948362585109,LLR,0.331381119022,0.0502574663024,0.843491974382,0.0133718296657,0.92523098102,0.942839038393,xWboot,,,,
kwashiorkor_gen_h207B,468,8,158692.036048,68242.6823944,1269536.28839,0.596057991785,0.0377050701347,0.907013603898,0.00468203327193,0.987734995691,0.949460949726,LLR,0.309012648995,0.0485932927856,0.851907601192,0.0135465624199,0.924730808938,0.944090928303,xWboot,,,,
kwashiorkor_gen_h_h209A,223,4,129422.779582,52398.6563066,517691.118327,0.464527371635,0.0486645690593,0.903344909707,0.00854097735651,0.980626680838,0.938233539377,LLR,0.243907665333,0.0460115187795,0.844029766003,0.0184209829361,0.916009710541,0.931487921251,xWboot,,,,
kwashiorkor_gen_h_h209B,257,4,182779.031014,67918.427158,731116.124058,0.613614634579,0.0518614463589,0.929136971713,0.00656105652583,0.987444302633,0.939574706668,LLR,0.336138023994,0.0610475502075,0.875177327608,0.0165776424706,0.927305819516,0.933960233116,xWboot,,,,
kwashiorkor_gen_h_h257A,311,5,140843.611853,77100.6869668,704218.059263,1.01982199544,0.0561791800318,0.952479352876,0.00441779921074,0.99339641721,0.933636741659,LLR,0.551370519274,0.0990369193906,0.895077415666,0.0168686490434,0.929373889903,0.928223528915,xWboot,,,,
kwashiorkor_gen_h_h257B,333,5,168570.478619,121337.048074,842852.393094,0.754316492902,0.047018499441,0.933577844042,0.00485267958649,0.991136128097,0.936985864502,LLR,0.413332502307,0.0724333984409,0.879431824611,0.0156498592207,0.930773167346,0.931229038536,xWboot,,,,
kwashiorkor_gen_h_h259A,262,4,192255.9548,117578.691214,769023.819199,1.0631391664,0.0900722298758,0.964615817165,0.00683318283927,0.987121033495,0.939827454693,LLR,0.511670865751,0.113679745549,0.897468970344,0.0203227237822,0.913942361214,0.935216849985,xWboot,,,,
kwashiorkor_gen_h_h259B,213,5,181137.392978,119344.991426,905686.964891,1.17633418357,0.0847615149945,0.961024766491,0.0058177884746,0.992326664622,0.936542215457,LLR,0.573391677268,0.13408360067,0.89485043121,0.0215362362938,0.922797639922,0.931153594028,xWboot,,,,
kwashiorkor_gen_h268A,316,7,143820.067754,52244.9669274,1006740.47428,0.565914341147,0.0399129532784,0.905280041862,0.00540697083644,0.988922692794,0.942071356251,LLR,0.314045550678,0.0522321719556,0.853145988485,0.0152319373014,0.930161513319,0.936496734022,xWboot,,,,
kwashiorkor_gen_h26B,311,7,46295.955387,21747.8153095,324071.687709,0.484021793837,0.0367886497137,0.888222732248,0.00613681805931,0.985464096873,0.939111957753,LLR,0.273455469917,0.041578089217,0.83569872182,0.0150325782674,0.924921547886,0.932603322268,xWboot,,,,
kwashiorkor_gen_h278B,455,7,62401.8658477,29912.7151124,436813.060934,0.445971213144,0.0291369832878,0.883287265542,0.00510151183547,0.985113985923,0.954591238806,LLR,0.203060064507,0.033161180482,0.814965982477,0.0148719423239,0.907011358662,0.948599783033,xWboot,,,,
kwashiorkor_gen_h_h301A,238,5,218639.400846,38103.1629903,1093197.00423,0.994132814396,0.0766303926547,0.953207187556,0.00603846582752,0.990618126143,0.936916926123,LLR,0.526530515162,0.112771271446,0.895630459881,0.0191972331587,0.927296994687,0.931950282122,xWboot,,,,
kwashiorkor_gen_h_h301B,210,5,236818.479166,43016.5771596,1184092.39583,1.04771389238,0.106318335996,0.95687976637,0.00798596839661,0.985719003009,0.941869127833,LLR,0.497080217922,0.118432204463,0.89094734878,0.0213168214019,0.916165452961,0.937249208969,xWboot,,,,
kwashiorkor_gen_h_h37A,205,3,98968.6639466,72651.0047513,296905.99184,1.00653090417,0.0721417134414,0.969660096827,0.00601335197465,0.992253382828,0.918524129597,LLR,0.584150881473,0.12307860021,0.916031906907,0.0202427874399,0.933478645987,0.914287870599,xWboot,,,,
kwashiorkor_gen_h_h37B,192,3,128002.735632,64869.1029858,384008.206895,0.738740225524,0.0577798908407,0.944828532521,0.00667816116015,0.990597176751,0.935583232098,LLR,0.391667735951,0.0948535266723,0.881236092181,0.0240063410699,0.918620841696,0.92963106418,xWboot,,,,
kwashiorkor_gen_h46B,377,8,93038.158376,90535.2626829,744305.267008,0.669352404126,0.0412918415745,0.911673861946,0.00469088484802,0.99016959891,0.943706999456,LLR,0.363472619056,0.0597171554056,0.858341922813,0.0146518499515,0.929104580092,0.938076796392,xWboot,,,,
kwashiorkor_gen_h_h47A,433,5,115399.672891,38155.8567719,576998.364457,0.381328224035,0.0296323865118,0.88574810364,0.00604052334497,0.980348909257,0.952952589807,LLR,0.179674178735,0.0298159628584,0.820775130018,0.0150353887999,0.905569120984,0.947230481367,xWboot,,,,
kwashiorkor_gen_h_h47B,376,5,152307.430369,84989.6007208,761537.151844,0.454204366827,0.0355163729576,0.901109253616,0.00594774197567,0.983967484415,0.947942564194,LLR,0.2316477586,0.0405804792893,0.843429157429,0.0157418819081,0.918408351813,0.942385342005,xWboot,,,,
kwashiorkor_gen_h56A,416,8,109140.578531,37942.8836517,873124.628248,0.666019693637,0.0456494518421,0.914118170161,0.00523167246482,0.986620890951,0.94454404703,LLR,0.353108815423,0.0560847406666,0.858906239085,0.0141904557977,0.925850781169,0.939363758311,xWboot,,,,
kwashiorkor_gen_h57B,497,8,86034.0880926,61519.8840967,688272.704741,0.542514736524,0.0342747931089,0.895450903083,0.00484036856817,0.985742548041,0.9543986425,LLR,0.249189117757,0.0388467536442,0.829282737125,0.0137471676675,0.911008797904,0.948898172937,xWboot,,,,
kwashiorkor_gen_h80A,413,7,71497.490394,43047.8021282,500482.432758,0.574462307836,0.0382220829159,0.901932777375,0.00523509541801,0.986342526457,0.945372265153,LLR,0.296643416303,0.0456765897996,0.843246382493,0.0142039945291,0.919591827845,0.939137604282,xWboot,,,,
kwashiorkor_gen_h84A,426,6,110375.979467,26325.426486,662255.876803,0.613012578792,0.038461466602,0.913907428388,0.00481671298025,0.988359334185,0.951872350567,LLR,0.290450410512,0.0498507878756,0.849440894146,0.0150617174545,0.915083921474,0.94654871283,xWboot,,,,
kwashiorkor_gen_h_h95A,299,3,93937.6284078,30298.9186824,281812.885223,0.363647695722,0.0330382079798,0.892071735082,0.00761990067459,0.97878979041,0.946100849241,LLR,0.176107645773,0.0327750960195,0.824186664131,0.0183125031807,0.901697437426,0.939468735044,xWboot,,,,
kwashiorkor_gen_h_h95B,317,3,97117.8827254,34567.3275396,291353.648176,0.370859823834,0.0427215493083,0.896006860419,0.00943348097109,0.96626144055,0.94773294352,LLR,0.17020156454,0.0331178486893,0.825735493282,0.0185995280336,0.887332373718,0.941581586763,xWboot,,,,
kwashiorkor_gen_k138B,363,7,126825.881025,53879.6914813,887781.167175,0.492455402903,0.0329223143024,0.899198282318,0.00504542149796,0.988762155902,0.946586481666,LLR,0.272887974044,0.0452342455415,0.84788094569,0.0149437837407,0.929952348683,0.94115409575,xWboot,,,,
kwashiorkor_gen_k187B,285,6,97778.4176153,53387.0308959,586670.505692,0.729301099909,0.0576910402355,0.925074843598,0.00620647881639,0.987421585006,0.947248135333,LLR,0.351861419403,0.0696547421524,0.860204837942,0.0181687071276,0.916517029334,0.941890990431,xWboot,,,,
kwashiorkor_gen_k188A,670,17,93643.0661898,75357.5796278,1591932.12523,0.726571966908,0.0410937379644,0.897044876525,0.00411577610628,0.986132852171,0.955796063252,LLR,0.343008561131,0.044322016342,0.836306813761,0.0108922683401,0.917534059484,0.951040276744,xWboot,,,,
kwashiorkor_gen_k196A,655,10,114799.951378,76604.3740035,1147999.51378,0.563981692631,0.0314189410482,0.895621329876,0.00409494498642,0.9865329621,0.958527261906,LLR,0.25202920489,0.0374779059504,0.830048899146,0.012606952165,0.911923840507,0.953564362756,xWboot,,,,
kwashiorkor_gen_k207A,540,8,130436.511643,88241.8044587,1043492.09314,0.765240696291,0.0459953828046,0.920694745804,0.00452787760735,0.987155240889,0.949723134921,LLR,0.35998312757,0.0550760501389,0.857431951786,0.0132685802565,0.918335041746,0.944377744939,xWboot,,,,
kwashiorkor_gen_k268B,320,8,156280.856457,33472.1991808,1250246.85165,0.608841621131,0.0468758010675,0.907002489587,0.00572162587663,0.987503518302,0.948824695902,LLR,0.311875808299,0.0582867702812,0.850554270529,0.0161741567902,0.923912092205,0.943447538102,xWboot,,,,
kwashiorkor_gen_k26A,296,7,44274.4178173,14378.6520402,309920.924721,0.724677566333,0.0476734984708,0.914517262195,0.00541503349974,0.989797374897,0.93646615402,LLR,0.403433149173,0.0674718044122,0.858893770634,0.0163958703976,0.925550141587,0.92978903356,xWboot,,,,
kwashiorkor_gen_k278A,577,8,102981.055507,41687.3050252,823848.444059,0.328340715805,0.021529082747,0.864658069146,0.00493471681521,0.981615786356,0.960183202564,LLR,0.148038924572,0.0229766446182,0.798456878179,0.0135553740942,0.904315741785,0.955115848209,xWboot,,,,
kwashiorkor_gen_k46A,388,8,155048.955633,92279.37933,1240391.64506,0.923400375223,0.0514227625554,0.931605242911,0.00413557738279,0.992450734869,0.951135877519,LLR,0.433147775405,0.0803213355113,0.868094590194,0.015953380204,0.919323671834,0.945984133962,xWboot,,,,
kwashiorkor_gen_k56B,400,8,107141.887968,35747.9504543,857135.10374,0.383069937259,0.0317100491575,0.875608460013,0.0062915495908,0.979865316955,0.950176497641,LLR,0.195616035686,0.0306584855159,0.81860261933,0.0141534265532,0.91639899123,0.944613464026,xWboot,,,,
kwashiorkor_gen_k57A,464,8,58607.0135163,15937.4005343,468856.108131,0.337135866479,0.0252323152865,0.862982519765,0.00588019484187,0.979000720943,0.956144700571,LLR,0.160318215666,0.025033958994,0.797913887961,0.0143270936149,0.904327484031,0.950622959695,xWboot,,,,
kwashiorkor_gen_k80B,411,7,73345.0991302,35626.3777215,513415.693912,0.560149781214,0.0365362073001,0.900526927703,0.00517629621493,0.986666670346,0.94207263748,LLR,0.3034767833,0.0458018237053,0.844964040687,0.0142413426797,0.923172703103,0.935651740221,xWboot,,,,
kwashiorkor_gen_k84B,518,6,109152.877035,39309.1034955,654917.26221,0.54230147336,0.032889522668,0.905246484936,0.0046682991462,0.986463249568,0.956111270161,LLR,0.234896691523,0.0371922875552,0.834062392039,0.0139352721774,0.907666678973,0.950783906421,xWboot,,,,
